band,letter,channel,frequency_mhz
SK1200,S,1,1080
SK1200,S,2,1120
SK1200,S,3,1160
SK1200,S,4,1200
SK1200,S,5,1240
SK1200,S,6,1280
SK1200,S,7,1320
SK1200,S,8,1360
