band,letter,channel,frequency_mhz
BAND_A,A,1,3330
BAND_A,A,2,3350
BAND_A,A,3,3370
BAND_A,A,4,3390
BAND_A,A,5,3410
BAND_A,A,6,3430
BAND_A,A,7,3450
BAND_A,A,8,3470
